BusinessRegion,,Department,RetailNetwork,Level3,ЯК,Рейтинг ЯК,количество,2 ГИС,Рейтинг 2ГИС,количество,Гугл карты,Рейтинг ГК,,,,Рейтинг ЯК (свежий),оценки ЯК (свежий),отзывы ЯК (свежий),Рейтинг 2ГИС (свежий),оценки 2ГИС (свежий),отзывы 2ГИС (свежий)
,,,,,на 01.07.26,,,,,,,,,,,на 12.07.26,,,,,
Адлер,Чураева К,Сочи-04 Адлер Ленина 73,SPOKE Россия,Алексеева Яна РД,https://yandex.ru/maps/org/spoke/163787997704/,-0,0,https://go.2gis.com/Sf64K,"4,2",18,,,,,,,,0,"4,2",,18
Адлер,Чураева К,Сочи-04 Адлер Ленина 73,Галерея Суши Россия,Алексеева Яна РД,https://yandex.ru/maps/org/galereya_sushi/146994462426/,"4,3",113,https://go.2gis.com/KykoD,"4,3",120,https://maps.app.goo.gl/SS9FqB6zzstGf3oN6,,,,,,,0,"4,2",,18
Адлер,Чураева К,Сочи-04 Адлер Ленина 73,Мир Суши Россия,Алексеева Яна РД,https://yandex.ru/maps/org/mir_sushi/31497175644/,"3,7",51,https://2gis.ru/sochi/search/%D0%9C%D0%B8%D1%80%20%D1%81%D1%83%D1%88%D0%B8%20%D0%A1%D0%BE%D1%87%D0%B8-04%20%D0%90%D0%B4%D0%BB%D0%B5%D1%80%20%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D0%B0%2073/firm/70000001080427226/39.917333%2C43.430613?m=39.917307%2C43.430629%2F17.76,"4,2",47,-0,,,,,,,0,"4,2",,18
Адлер,Чураева К,Сочи-04 Адлер Ленина 73,Суши Мастер Россия,Алексеева Яна РД,https://yandex.ru/maps/org/sushi_master/212711504104/,5,876,https://2gis.ru/sochi/search/%D0%A1%D1%83%D1%88%D0%B8%20%D0%BC%D0%B0%D1%81%D1%82%D0%B5%D1%80%20%D0%A1%D0%BE%D1%87%D0%B8-04%20%D0%90%D0%B4%D0%BB%D0%B5%D1%80%20%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D0%B0%2073/firm/70000001046089381/39.917333%2C43.430613?m=39.91731%2C43.430637%2F17.76,"4,1",772,https://maps.app.goo.gl/L2i3X8QxHVzLkfh49,,,,,,,0,"4,2",,18
Альметьевск,Молодцов А,Альметьевск-01 Ленина 101,Галерея Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/galereya_sushi/50053785155/,4,44,https://go.2gis.com/uHSY9,"4,7",203,https://maps.app.goo.gl/5FVqrByVmzCLPNnr5,,,,,4,55,44,"4,7",213,204
Альметьевск,Молодцов А,Альметьевск-01 Ленина 101,Мир Суши Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/mir_sushi/97702096661/,"3,7",11,-0,,,https://maps.app.goo.gl/5FVqrByVmzCLPNnr5,,,,,4,55,44,"4,7",213,204
Альметьевск,Молодцов А,Альметьевск-01 Ленина 101,Суши Мастер Россия,Понкратова (Филиппова) Анастасия РД,https://yandex.ru/maps/org/sushi_master/78187324011/,"4,5",313,https://go.2gis.com/kiy4o,"4,1",537,https://maps.app.goo.gl/yPo3WCnRAkTHYDccA,,,,,4,55,44,"4,7",213,204
Анапа,,Анапа-01 Лермонтова 118,Суши Мастер Россия,,https://yandex.ru/maps/org/sushi_master/109316362681/,"4,9",606,https://go.2gis.com/9wggp,"4,4",399,https://maps.app.goo.gl/6842P7oi7GHiVexd8,"3,9",,,,,,,"3,3",13,12
Анапа,,Анапа-01 Лермонтова 118,Мир Суши Россия,,"https://yandex.ru/profile/242126626916
",,,https://2gis.ru/anapa/search/%D0%B0%D0%BD%D0%B0%D0%BF%D0%B0%20%D0%BC%D0%B8%D1%80%20%D1%81%D1%83%D1%88%D0%B8/firm/70000001092713029/37.324208%2C44.881823?m=37.324208%2C44.881823%2F12.16,"3,3",12,,,,,,,,,"3,3",13,12
