platform,bucket,name,city,region,url,error_code,rating
yandex,zero_rating,"Благовещенск-01 ул 50 лет Октября, 24/1",Благовещенск,,https://yandex.ru/maps/org/spoke/121449700992/,,
yandex,zero_rating,Краснодар-08 Метальникова 3,Краснодар,,https://yandex.ru/maps/org/spoke/236143704016/?ll=39.004930%2C45.093817&z=16,,
yandex,zero_rating,"Санкт-Петербург Кудрово, пр-кт Строителей, д.16",Санкт-Петербург,,https://yandex.ru/maps/org/sushi_master/206378287969/,,
yandex,zero_rating,Новокузнецк-03 Ленина 35,Новокузнецк,,https://yandex.ru/maps/org/spoke/82424293683/,,
yandex,zero_rating,"Омск-02, ул. 70 лет Октября, 24/1",Омск,,https://yandex.ru/maps/org/spoke/92122104148/?ll=73.323413%2C54.981898&z=16,,
yandex,zero_rating,Комсомольск-на-Амуре-03 Лазо 7,Комсомольск-на-Амуре,,https://yandex.ru/maps/org/spoke/78335992610/?ll=137.065611%2C50.593585&z=16,,
yandex,zero_rating,"Санкт-Петербург Кудрово, пр-кт Строителей, д.16",Санкт-Петербург,,https://yandex.ru/maps/org/galereya_sushi/140748848517/,,
yandex,zero_rating,Барнаул-01 Ленина 113,Барнаул,,https://yandex.ru/maps/org/spoke/140087795786/,,
yandex,zero_rating,Тюмень-18 Монтажников 47,Тюмень,,https://yandex.ru/maps/org/spoke/56557586956/?ll=65.591182%2C57.101267&z=16,,
yandex,zero_rating,Хабаровск-07 Тихоокеанская 182 б,Хабаровск,,https://yandex.ru/maps/org/spoke/142362891616/?ll=135.043682%2C48.542840&z=16,,
yandex,zero_rating,Тюмень Червишевский тракт,Тюмень,,https://yandex.ru/maps/org/spoke/114098856882/?ll=65.522794%2C57.128263&z=16,,
yandex,zero_rating,Тюмень Лесопарковая 1 к2,Тюмень,,https://yandex.ru/maps/org/spoke/25098593193/?ll=65.642062%2C57.151105&z=16,,
yandex,zero_rating,Тюмень Щербакова,Тюмень,,https://yandex.ru/maps/org/spoke/190710585317/?ll=65.566631%2C57.186909&z=16,,
yandex,zero_rating,Хабаровск-01 Суворова 25/1,Хабаровск,,https://yandex.ru/maps/org/spoke/166198099411/?ll=135.107202%2C48.394243&z=16,,
yandex,zero_rating,Хабаровск-02 Ленинградская 28/9,Хабаровск,,https://yandex.ru/maps/org/spoke/98219264913/?ll=135.095623%2C48.483287&z=16,,
yandex,zero_rating,Хабаровск-06 Амурский бульвар 62,Хабаровск,,https://yandex.ru/maps/org/spoke/120336738253/?ll=135.072770%2C48.493803&z=16,,
yandex,zero_rating,Ханты-Мансийск-02 Самаровская 1/4,Ханты-Мансийск,,https://yandex.ru/maps/org/spoke/82615658937/?ll=69.030229%2C60.968325&z=16,,
yandex,zero_rating,Пермь-09 Парковый 33,Пермь,,https://yandex.ru/maps/org/spoke/204248912559/?ll=56.165043%2C57.998557&z=16,,
yandex,zero_rating,Новокузнецк-06 Кирова 21,Новокузнецк,,https://yandex.ru/maps/org/spoke/22358347180/?ll=87.119227%2C53.757931&z=16,,
yandex,zero_rating,Краснодар-15 Западный обход 45 стр.3 пом.1110/1,Краснодар,,https://yandex.ru/maps/org/spoke/96026106016/,,
yandex,zero_rating,"Барнаул-03 ул. Балтийская, 103",Барнаул,,https://yandex.ru/maps/org/spoke/140781350500/,,
yandex,zero_rating,Ростов-на-Дону-06 Металлургическая 117/62,Ростов-на-Дону,,https://yandex.ru/maps/org/spoke/242234565853/?ll=39.768580%2C47.250131&z=16,,
yandex,zero_rating,Тюмень-04 Ямская 102,Тюмень,,https://yandex.ru/maps/org/spoke/120603907713/,,
yandex,zero_rating,Комсомольск-на-Амуре-02 Мира 47,Комсомольск-на-Амуре,,https://yandex.ru/maps/org/spoke/95417437202/?ll=137.016212%2C50.553254&z=16,,
yandex,zero_rating,Екатеринбург-13 Титова 12,Екатеринбург,,https://yandex.ru/maps/org/spoke/195869926918/,,
yandex,zero_rating,Ханты-Мансийск-01 Мира 52,Ханты-Мансийск,,https://yandex.ru/maps/org/spoke/180801256021/?ll=69.036967%2C61.006717&z=16,,
yandex,zero_rating,Тюмень-23 Обдорская 1к2 суши,Тюмень,,https://yandex.ru/maps/org/spoke/161351284779/?ll=65.489879%2C57.125645&z=16,,
yandex,zero_rating,Екатеринбург-10 Восточная 98,Екатеринбург,,https://yandex.ru/maps/org/spoke/213627213811/?ll=60.635384%2C56.830950&z=16,,
yandex,zero_rating,Нижнекамск-02 Гагарина 24,Нижнекамск,,https://yandex.ru/maps/org/spoke/181234551123/?ll=51.847210%2C55.647925&z=16,,
yandex,zero_rating,Новый Уренгой-02 Оптимистов 4/1,Новый Уренгой,,https://yandex.ru/maps/org/spoke/95732545269/?ll=76.647817%2C66.081718&z=16,,
yandex,zero_rating,Чебоксары-01 ул. Пролетарская 21/22,Чебоксары,,https://yandex.ru/maps/org/spoke/71809939463/,,
yandex,zero_rating,Омск-01 Культуры 7,Омск,,https://yandex.ru/maps/org/spoke/230875708683/?ll=73.277167%2C55.029513&z=16,,
yandex,zero_rating,"Омск-05 ул. Маяковского,85",Омск,,https://yandex.ru/maps/org/spoke/187607195029/?ll=73.405348%2C54.972174&z=16,,
yandex,zero_rating,Сургут-01 Ленина 50,Сургут,,https://yandex.ru/maps/org/spoke/190420898034/?ll=73.386537%2C61.255571&z=16,,
yandex,zero_rating,Ростов-на-Дону-07 339-й Стрелковой Дивизии 5/60Б,Ростов-на-Дону,,https://yandex.ru/maps/org/spoke/224938892290/?ll=39.630661%2C47.225750&z=16,,
yandex,zero_rating,Комсомольск-на-Амуре-04 ул Вокзальная 91,Комсомольск-на-Амуре,,https://yandex.ru/maps/org/spoke/176654188804/?ll=136.970093%2C50.543976&z=16,,
yandex,zero_rating,Сочи-01 Советская д. 40 пом 1-4,Сочи,,https://yandex.ru/maps/org/spoke/70870558251/?ll=39.724158%2C43.586171&z=16,,
yandex,zero_rating,Тюмень-15 Пермякова 50Б,Тюмень,,https://yandex.ru/maps/org/spoke/207330514586/,,
yandex,zero_rating,Сургут-02 30 лет Победы 41,Сургут,,https://yandex.ru/maps/org/spoke/134947545800/?ll=73.440607%2C61.256367&z=16,,
yandex,zero_rating,Чита-01 Бутина 42а,Чита,,https://yandex.ru/maps/org/spoke/120456711436/?ll=113.507319%2C52.040976&z=16,,
yandex,zero_rating,Ростов-на-Дону-10 бульвар Комарова 20/1,Ростов-на-Дону,,https://yandex.ru/maps/org/spoke/32085442944/?ll=39.704457%2C47.229324&z=16,,
yandex,zero_rating,"Омск-04 ул. Герцена, 12",Омск,,https://yandex.ru/maps/org/spoke/30471211073/?ll=73.372623%2C54.993479&z=16,,
yandex,zero_rating,Федоровский-01 Ленина 12/2,Федоровский,,https://yandex.ru/maps/org/galereya_sushi/144706649857/,,
yandex,zero_rating,Пермь-08 Мира 51,Пермь,,https://yandex.ru/maps/org/spoke/20210514011/?ll=56.179083%2C57.975942&z=16,,
yandex,zero_rating,Пермь-07 Солдатова 28,Пермь,,https://yandex.ru/maps/org/spoke/36739193833/?ll=56.233566%2C57.972463&z=16,,
yandex,zero_rating,Сочи-04 Адлер Ленина 73,Адлер,,https://yandex.ru/maps/org/spoke/163787997704/,,
yandex,zero_rating,Хабаровск-05 Карла Маркса 200/1,Хабаровск,,https://yandex.ru/maps/org/spoke/151223521434/?ll=135.142021%2C48.507939&z=16,,
yandex,zero_rating,Ярославль-01 Большая Федоровская 29,Ярославль,,https://yandex.ru/maps/org/spoke/170445734563/?ll=39.875811%2C57.609862&z=16,,
yandex,zero_rating,Тюмень-06 Республики 204 корп 7 помещение 4,Тюмень,,https://yandex.ru/maps/org/spoke/128420497682/?ll=65.599887%2C57.122112&z=16,,
yandex,zero_rating,Талнах-01 Бауманская 9,Талнах,,https://yandex.ru/maps/org/galereya_sushi/173393467183/,,
yandex,zero_rating,Уссурийск-01 Некрасова 53,Уссурийск,,https://yandex.ru/maps/org/spoke/40630746333/,,
yandex,zero_rating,Нефтеюганск-02 Ленина 33,Нефтеюганск,,https://yandex.ru/maps/org/spoke/73642696138/?ll=72.608741%2C61.089513&z=16,,
yandex,zero_rating,Кемерово-04 Строителей 42,Кемерово,,https://yandex.ru/maps/org/spoke/223673131320/,,
yandex,zero_rating,Тюмень-12 Артамонова 13,Тюмень,,https://yandex.ru/maps/org/spoke/144282161395/?ll=65.575040%2C57.106052&z=16,,
yandex,zero_rating,Чебоксары-02 пр-т Максима Горького 38/2,Чебоксары,,https://yandex.ru/maps/org/spoke/110427568539/,,
yandex,zero_rating,Ярославль-03 Урицкого 65,Ярославль,,https://yandex.ru/maps/org/spoke/4168672665/?ll=39.792375%2C57.679296&z=16,,
yandex,zero_rating,Сургут-10 Тюменский тракт 2,Сургут,,https://yandex.ru/maps/org/spoke/14083224197/?ll=73.360101%2C61.275921&z=16,,
